Category: All categories

Week,Tinder: (Rhode Island)
2020-03-01,41
2020-03-08,35
2020-03-15,57
2020-03-22,51
2020-03-29,62
2020-04-05,13
2020-04-12,37
2020-04-19,31
2020-04-26,31
2020-05-03,31
2020-05-10,32
2020-05-17,31
2020-05-24,52
2020-05-31,37
2020-06-07,64
2020-06-14,20
2020-06-21,48
2020-06-28,42
2020-07-05,42
2020-07-12,49
2020-07-19,7
2020-07-26,56
2020-08-02,100
2020-08-09,35
2020-08-16,57
2020-08-23,42
2020-08-30,35
2020-09-06,41
2020-09-13,39
2020-09-20,67
2020-09-27,48
2020-10-04,44
2020-10-11,33
2020-10-18,65
2020-10-25,40
2020-11-01,33
2020-11-08,30
2020-11-15,50
2020-11-22,17
2020-11-29,50
2020-12-06,60
2020-12-13,62
2020-12-20,28
2020-12-27,18
2021-01-03,25
2021-01-10,51
2021-01-17,42
2021-01-24,50
2021-01-31,58
2021-02-07,33
2021-02-14,59
2021-02-21,58
2021-02-28,62
