Category: All categories

Week,Tinder: (District of Columbia)
2020-03-01,20
2020-03-08,10
2020-03-15,12
2020-03-22,13
2020-03-29,26
2020-04-05,46
2020-04-12,13
2020-04-19,13
2020-04-26,13
2020-05-03,6
2020-05-10,26
2020-05-17,40
2020-05-24,28
2020-05-31,39
2020-06-07,20
2020-06-14,14
2020-06-21,0
2020-06-28,61
2020-07-05,7
2020-07-12,29
2020-07-19,14
2020-07-26,22
2020-08-02,15
2020-08-09,29
2020-08-16,43
2020-08-23,41
2020-08-30,21
2020-09-06,43
2020-09-13,54
2020-09-20,35
2020-09-27,21
2020-10-04,30
2020-10-11,51
2020-10-18,17
2020-10-25,8
2020-11-01,22
2020-11-08,40
2020-11-15,16
2020-11-22,29
2020-11-29,32
2020-12-06,8
2020-12-13,25
2020-12-20,32
2020-12-27,62
2021-01-03,34
2021-01-10,17
2021-01-17,44
2021-01-24,17
2021-01-31,100
2021-02-07,33
2021-02-14,43
2021-02-21,8
2021-02-28,0
