Category: All categories

Week,Tinder: (Pennsylvania)
2020-03-01,84
2020-03-08,72
2020-03-15,88
2020-03-22,70
2020-03-29,82
2020-04-05,75
2020-04-12,77
2020-04-19,64
2020-04-26,62
2020-05-03,66
2020-05-10,70
2020-05-17,70
2020-05-24,66
2020-05-31,59
2020-06-07,86
2020-06-14,68
2020-06-21,72
2020-06-28,74
2020-07-05,71
2020-07-12,75
2020-07-19,88
2020-07-26,80
2020-08-02,91
2020-08-09,92
2020-08-16,88
2020-08-23,72
2020-08-30,100
2020-09-06,94
2020-09-13,59
2020-09-20,82
2020-09-27,80
2020-10-04,79
2020-10-11,87
2020-10-18,78
2020-10-25,93
2020-11-01,74
2020-11-08,74
2020-11-15,83
2020-11-22,84
2020-11-29,67
2020-12-06,72
2020-12-13,62
2020-12-20,67
2020-12-27,49
2021-01-03,76
2021-01-10,60
2021-01-17,71
2021-01-24,62
2021-01-31,89
2021-02-07,65
2021-02-14,79
2021-02-21,56
2021-02-28,27
