Category: All categories

Week,Tinder: (Wisconsin)
2020-03-01,42
2020-03-08,77
2020-03-15,74
2020-03-22,64
2020-03-29,72
2020-04-05,86
2020-04-12,73
2020-04-19,75
2020-04-26,52
2020-05-03,68
2020-05-10,69
2020-05-17,68
2020-05-24,63
2020-05-31,67
2020-06-07,57
2020-06-14,59
2020-06-21,62
2020-06-28,63
2020-07-05,52
2020-07-12,62
2020-07-19,73
2020-07-26,72
2020-08-02,59
2020-08-09,61
2020-08-16,67
2020-08-23,70
2020-08-30,73
2020-09-06,80
2020-09-13,65
2020-09-20,54
2020-09-27,71
2020-10-04,53
2020-10-11,100
2020-10-18,78
2020-10-25,71
2020-11-01,61
2020-11-08,65
2020-11-15,71
2020-11-22,56
2020-11-29,54
2020-12-06,74
2020-12-13,69
2020-12-20,76
2020-12-27,79
2021-01-03,89
2021-01-10,59
2021-01-17,48
2021-01-24,51
2021-01-31,72
2021-02-07,73
2021-02-14,55
2021-02-21,51
2021-02-28,51
