Category: All categories

Week,Tinder: (Washington)
2020-03-01,63
2020-03-08,67
2020-03-15,55
2020-03-22,62
2020-03-29,60
2020-04-05,72
2020-04-12,84
2020-04-19,62
2020-04-26,71
2020-05-03,79
2020-05-10,71
2020-05-17,77
2020-05-24,88
2020-05-31,88
2020-06-07,88
2020-06-14,88
2020-06-21,74
2020-06-28,84
2020-07-05,93
2020-07-12,78
2020-07-19,60
2020-07-26,80
2020-08-02,63
2020-08-09,86
2020-08-16,70
2020-08-23,78
2020-08-30,76
2020-09-06,71
2020-09-13,55
2020-09-20,68
2020-09-27,67
2020-10-04,87
2020-10-11,97
2020-10-18,74
2020-10-25,65
2020-11-01,53
2020-11-08,72
2020-11-15,68
2020-11-22,56
2020-11-29,78
2020-12-06,100
2020-12-13,83
2020-12-20,65
2020-12-27,59
2021-01-03,71
2021-01-10,62
2021-01-17,61
2021-01-24,86
2021-01-31,66
2021-02-07,64
2021-02-14,49
2021-02-21,58
2021-02-28,42
