Category: All categories

Week,Tinder: (Illinois)
2020-03-01,78
2020-03-08,78
2020-03-15,79
2020-03-22,80
2020-03-29,64
2020-04-05,69
2020-04-12,89
2020-04-19,80
2020-04-26,67
2020-05-03,91
2020-05-10,85
2020-05-17,73
2020-05-24,93
2020-05-31,63
2020-06-07,72
2020-06-14,95
2020-06-21,89
2020-06-28,100
2020-07-05,92
2020-07-12,97
2020-07-19,91
2020-07-26,83
2020-08-02,88
2020-08-09,72
2020-08-16,88
2020-08-23,63
2020-08-30,78
2020-09-06,85
2020-09-13,80
2020-09-20,52
2020-09-27,75
2020-10-04,68
2020-10-11,77
2020-10-18,78
2020-10-25,66
2020-11-01,58
2020-11-08,59
2020-11-15,97
2020-11-22,61
2020-11-29,78
2020-12-06,86
2020-12-13,85
2020-12-20,89
2020-12-27,69
2021-01-03,76
2021-01-10,81
2021-01-17,78
2021-01-24,68
2021-01-31,55
2021-02-07,58
2021-02-14,84
2021-02-21,86
2021-02-28,57
