Category: All categories

Week,Tinder: (Georgia)
2020-03-01,70
2020-03-08,78
2020-03-15,63
2020-03-22,64
2020-03-29,73
2020-04-05,57
2020-04-12,65
2020-04-19,58
2020-04-26,70
2020-05-03,59
2020-05-10,65
2020-05-17,70
2020-05-24,67
2020-05-31,73
2020-06-07,61
2020-06-14,77
2020-06-21,57
2020-06-28,86
2020-07-05,58
2020-07-12,67
2020-07-19,73
2020-07-26,75
2020-08-02,61
2020-08-09,55
2020-08-16,72
2020-08-23,65
2020-08-30,61
2020-09-06,52
2020-09-13,74
2020-09-20,72
2020-09-27,66
2020-10-04,63
2020-10-11,62
2020-10-18,59
2020-10-25,78
2020-11-01,46
2020-11-08,62
2020-11-15,49
2020-11-22,86
2020-11-29,56
2020-12-06,77
2020-12-13,53
2020-12-20,46
2020-12-27,79
2021-01-03,72
2021-01-10,57
2021-01-17,61
2021-01-24,73
2021-01-31,76
2021-02-07,62
2021-02-14,47
2021-02-21,64
2021-02-28,100
