Category: All categories

Week,Tinder: (Maine)
2020-03-01,54
2020-03-08,41
2020-03-15,51
2020-03-22,79
2020-03-29,62
2020-04-05,59
2020-04-12,64
2020-04-19,72
2020-04-26,29
2020-05-03,46
2020-05-10,72
2020-05-17,50
2020-05-24,56
2020-05-31,66
2020-06-07,25
2020-06-14,65
2020-06-21,32
2020-06-28,50
2020-07-05,38
2020-07-12,50
2020-07-19,71
2020-07-26,38
2020-08-02,81
2020-08-09,57
2020-08-16,70
2020-08-23,56
2020-08-30,63
2020-09-06,63
2020-09-13,49
2020-09-20,70
2020-09-27,59
2020-10-04,41
2020-10-11,61
2020-10-18,63
2020-10-25,55
2020-11-01,32
2020-11-08,45
2020-11-15,100
2020-11-22,92
2020-11-29,52
2020-12-06,31
2020-12-13,24
2020-12-20,68
2020-12-27,75
2021-01-03,59
2021-01-10,52
2021-01-17,90
2021-01-24,67
2021-01-31,31
2021-02-07,39
2021-02-14,38
2021-02-21,38
2021-02-28,0
