Category: All categories

Week,Online Dating: (Illinois)
2020-03-01,43
2020-03-08,52
2020-03-15,71
2020-03-22,82
2020-03-29,71
2020-04-05,71
2020-04-12,98
2020-04-19,58
2020-04-26,10
2020-05-03,50
2020-05-10,40
2020-05-17,41
2020-05-24,87
2020-05-31,21
2020-06-07,32
2020-06-14,33
2020-06-21,77
2020-06-28,56
2020-07-05,57
2020-07-12,34
2020-07-19,22
2020-07-26,34
2020-08-02,68
2020-08-09,34
2020-08-16,45
2020-08-23,53
2020-08-30,10
2020-09-06,85
2020-09-13,41
2020-09-20,32
2020-09-27,100
2020-10-04,23
2020-10-11,26
2020-10-18,63
2020-10-25,38
2020-11-01,43
2020-11-08,24
2020-11-15,74
2020-11-22,88
2020-11-29,84
2020-12-06,24
2020-12-13,37
2020-12-20,40
2020-12-27,89
2021-01-03,48
2021-01-10,37
2021-01-17,61
2021-01-24,49
2021-01-31,76
2021-02-07,38
2021-02-14,51
2021-02-21,43
