Category: All categories

Week,Online Dating: (Ohio)
2020-03-01,33
2020-03-08,44
2020-03-15,54
2020-03-22,44
2020-03-29,21
2020-04-05,21
2020-04-12,83
2020-04-19,30
2020-04-26,51
2020-05-03,21
2020-05-10,63
2020-05-17,43
2020-05-24,23
2020-05-31,44
2020-06-07,66
2020-06-14,70
2020-06-21,35
2020-06-28,37
2020-07-05,38
2020-07-12,62
2020-07-19,24
2020-07-26,50
2020-08-02,37
2020-08-09,50
2020-08-16,50
2020-08-23,12
2020-08-30,24
2020-09-06,69
2020-09-13,77
2020-09-20,24
2020-09-27,49
2020-10-04,25
2020-10-11,27
2020-10-18,54
2020-10-25,81
2020-11-01,33
2020-11-08,51
2020-11-15,26
2020-11-22,40
2020-11-29,12
2020-12-06,100
2020-12-13,51
2020-12-20,54
2020-12-27,78
2021-01-03,49
2021-01-10,62
2021-01-17,37
2021-01-24,38
2021-01-31,50
2021-02-07,37
2021-02-14,13
2021-02-21,87
