Category: All categories

Week,covid depression: (Florida)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,62
2020-03-29,45
2020-04-05,45
2020-04-12,73
2020-04-19,73
2020-04-26,45
2020-05-03,45
2020-05-10,45
2020-05-17,15
2020-05-24,0
2020-05-31,15
2020-06-07,15
2020-06-14,16
2020-06-21,81
2020-06-28,33
2020-07-05,100
2020-07-12,0
2020-07-19,50
2020-07-26,85
2020-08-02,33
2020-08-09,67
2020-08-16,68
2020-08-23,49
2020-08-30,0
2020-09-06,33
2020-09-13,32
2020-09-20,16
2020-09-27,51
2020-10-04,34
2020-10-11,0
2020-10-18,18
2020-10-25,18
2020-11-01,15
2020-11-08,34
2020-11-15,36
2020-11-22,73
2020-11-29,68
2020-12-06,17
2020-12-13,53
2020-12-20,0
2020-12-27,35
2021-01-03,33
2021-01-10,17
2021-01-17,34
2021-01-24,34
2021-01-31,68
2021-02-07,17
2021-02-14,17
2021-02-21,19
