Category: All categories

Week,covid date: (Georgia)
2020-03-01,0
2020-03-08,0
2020-03-15,20
2020-03-22,52
2020-03-29,72
2020-04-05,100
2020-04-12,70
2020-04-19,53
2020-04-26,60
2020-05-03,38
2020-05-10,33
2020-05-17,13
2020-05-24,27
2020-05-31,20
2020-06-07,13
2020-06-14,41
2020-06-21,27
2020-06-28,28
2020-07-05,28
2020-07-12,55
2020-07-19,21
2020-07-26,49
2020-08-02,20
2020-08-09,7
2020-08-16,26
2020-08-23,32
2020-08-30,19
2020-09-06,13
2020-09-13,25
2020-09-20,20
2020-09-27,21
2020-10-04,35
2020-10-11,15
2020-10-18,22
2020-10-25,8
2020-11-01,13
2020-11-08,21
2020-11-15,53
2020-11-22,39
2020-11-29,29
2020-12-06,59
2020-12-13,0
2020-12-20,8
2020-12-27,23
2021-01-03,64
2021-01-10,58
2021-01-17,43
2021-01-24,58
2021-01-31,22
2021-02-07,22
2021-02-14,15
2021-02-21,45
2021-02-28,57
