Category: All categories

Week,covid date: (Maryland)
2020-03-01,0
2020-03-08,21
2020-03-15,41
2020-03-22,81
2020-03-29,58
2020-04-05,58
2020-04-12,85
2020-04-19,37
2020-04-26,47
2020-05-03,19
2020-05-10,87
2020-05-17,48
2020-05-24,20
2020-05-31,47
2020-06-07,19
2020-06-14,100
2020-06-21,51
2020-06-28,86
2020-07-05,42
2020-07-12,53
2020-07-19,42
2020-07-26,33
2020-08-02,77
2020-08-09,66
2020-08-16,34
2020-08-23,21
2020-08-30,0
2020-09-06,42
2020-09-13,30
2020-09-20,10
2020-09-27,33
2020-10-04,45
2020-10-11,36
2020-10-18,36
2020-10-25,12
2020-11-01,41
2020-11-08,11
2020-11-15,80
2020-11-22,24
2020-11-29,44
2020-12-06,44
2020-12-13,56
2020-12-20,24
2020-12-27,36
2021-01-03,88
2021-01-10,34
2021-01-17,78
2021-01-24,67
2021-01-31,46
2021-02-07,23
2021-02-14,68
2021-02-21,69
2021-02-28,87
