Category: All categories

Week,Online dating application: (Maryland)
2020-03-01,24
2020-03-08,36
2020-03-15,24
2020-03-22,35
2020-03-29,45
2020-04-05,34
2020-04-12,22
2020-04-19,43
2020-04-26,54
2020-05-03,7
2020-05-10,19
2020-05-17,26
2020-05-24,15
2020-05-31,37
2020-06-07,30
2020-06-14,69
2020-06-21,44
2020-06-28,33
2020-07-05,24
2020-07-12,25
2020-07-19,45
2020-07-26,30
2020-08-02,21
2020-08-09,34
2020-08-16,35
2020-08-23,58
2020-08-30,36
2020-09-06,53
2020-09-13,27
2020-09-20,36
2020-09-27,21
2020-10-04,17
2020-10-11,28
2020-10-18,23
2020-10-25,46
2020-11-01,31
2020-11-08,44
2020-11-15,27
2020-11-22,60
2020-11-29,34
2020-12-06,39
2020-12-13,35
2020-12-20,28
2020-12-27,28
2021-01-03,38
2021-01-10,26
2021-01-17,34
2021-01-24,34
2021-01-31,57
2021-02-07,43
2021-02-14,44
2021-02-21,40
2021-02-28,100
