Category: All categories

Week,Online dating application: (New Jersey)
2020-03-01,65
2020-03-08,50
2020-03-15,50
2020-03-22,36
2020-03-29,70
2020-04-05,61
2020-04-12,60
2020-04-19,72
2020-04-26,69
2020-05-03,75
2020-05-10,44
2020-05-17,59
2020-05-24,69
2020-05-31,51
2020-06-07,74
2020-06-14,70
2020-06-21,60
2020-06-28,48
2020-07-05,78
2020-07-12,49
2020-07-19,89
2020-07-26,54
2020-08-02,54
2020-08-09,68
2020-08-16,100
2020-08-23,72
2020-08-30,67
2020-09-06,74
2020-09-13,50
2020-09-20,52
2020-09-27,55
2020-10-04,48
2020-10-11,37
2020-10-18,37
2020-10-25,47
2020-11-01,59
2020-11-08,75
2020-11-15,57
2020-11-22,31
2020-11-29,34
2020-12-06,75
2020-12-13,67
2020-12-20,38
2020-12-27,57
2021-01-03,58
2021-01-10,45
2021-01-17,85
2021-01-24,46
2021-01-31,67
2021-02-07,56
2021-02-14,99
2021-02-21,52
2021-02-28,38
