Category: All categories

Week,Online dating application: (Illinois)
2020-03-01,47
2020-03-08,62
2020-03-15,67
2020-03-22,68
2020-03-29,41
2020-04-05,58
2020-04-12,31
2020-04-19,60
2020-04-26,40
2020-05-03,37
2020-05-10,70
2020-05-17,71
2020-05-24,48
2020-05-31,75
2020-06-07,73
2020-06-14,69
2020-06-21,68
2020-06-28,79
2020-07-05,63
2020-07-12,75
2020-07-19,78
2020-07-26,29
2020-08-02,46
2020-08-09,60
2020-08-16,66
2020-08-23,37
2020-08-30,60
2020-09-06,50
2020-09-13,56
2020-09-20,100
2020-09-27,53
2020-10-04,56
2020-10-11,52
2020-10-18,55
2020-10-25,68
2020-11-01,83
2020-11-08,49
2020-11-15,62
2020-11-22,83
2020-11-29,68
2020-12-06,65
2020-12-13,63
2020-12-20,72
2020-12-27,73
2021-01-03,64
2021-01-10,46
2021-01-17,80
2021-01-24,73
2021-01-31,87
2021-02-07,35
2021-02-14,81
2021-02-21,60
2021-02-28,88
