Category: All categories

Week,Online dating application: (California)
2020-03-01,57
2020-03-08,76
2020-03-15,59
2020-03-22,75
2020-03-29,65
2020-04-05,74
2020-04-12,65
2020-04-19,63
2020-04-26,73
2020-05-03,66
2020-05-10,81
2020-05-17,68
2020-05-24,88
2020-05-31,74
2020-06-07,66
2020-06-14,64
2020-06-21,100
2020-06-28,56
2020-07-05,71
2020-07-12,77
2020-07-19,72
2020-07-26,72
2020-08-02,68
2020-08-09,71
2020-08-16,53
2020-08-23,73
2020-08-30,71
2020-09-06,75
2020-09-13,72
2020-09-20,81
2020-09-27,97
2020-10-04,77
2020-10-11,75
2020-10-18,70
2020-10-25,84
2020-11-01,54
2020-11-08,62
2020-11-15,88
2020-11-22,77
2020-11-29,84
2020-12-06,66
2020-12-13,86
2020-12-20,80
2020-12-27,100
2021-01-03,76
2021-01-10,77
2021-01-17,80
2021-01-24,83
2021-01-31,65
2021-02-07,76
2021-02-14,100
2021-02-21,71
2021-02-28,84
