Category: All categories

Week,Online dating application: (Pennsylvania)
2020-03-01,65
2020-03-08,66
2020-03-15,60
2020-03-22,79
2020-03-29,56
2020-04-05,61
2020-04-12,73
2020-04-19,72
2020-04-26,80
2020-05-03,50
2020-05-10,80
2020-05-17,68
2020-05-24,58
2020-05-31,52
2020-06-07,63
2020-06-14,60
2020-06-21,99
2020-06-28,98
2020-07-05,87
2020-07-12,93
2020-07-19,86
2020-07-26,81
2020-08-02,45
2020-08-09,54
2020-08-16,36
2020-08-23,70
2020-08-30,61
2020-09-06,54
2020-09-13,86
2020-09-20,72
2020-09-27,77
2020-10-04,51
2020-10-11,91
2020-10-18,83
2020-10-25,100
2020-11-01,37
2020-11-08,60
2020-11-15,84
2020-11-22,92
2020-11-29,60
2020-12-06,75
2020-12-13,95
2020-12-20,56
2020-12-27,48
2021-01-03,83
2021-01-10,47
2021-01-17,62
2021-01-24,37
2021-01-31,85
2021-02-07,62
2021-02-14,67
2021-02-21,73
2021-02-28,70
