Category: All categories

Week,Covid: (Hawaii)
2020-03-01,9
2020-03-08,34
2020-03-15,83
2020-03-22,95
2020-03-29,91
2020-04-05,80
2020-04-12,66
2020-04-19,58
2020-04-26,52
2020-05-03,46
2020-05-10,46
2020-05-17,42
2020-05-24,40
2020-05-31,37
2020-06-07,33
2020-06-14,43
2020-06-21,50
2020-06-28,48
2020-07-05,65
2020-07-12,64
2020-07-19,53
2020-07-26,72
2020-08-02,96
2020-08-09,100
2020-08-16,86
2020-08-23,82
2020-08-30,64
2020-09-06,59
2020-09-13,49
2020-09-20,51
2020-09-27,54
2020-10-04,50
2020-10-11,52
2020-10-18,52
2020-10-25,56
2020-11-01,41
2020-11-08,54
2020-11-15,75
2020-11-22,61
2020-11-29,57
2020-12-06,64
2020-12-13,64
2020-12-20,57
2020-12-27,71
2021-01-03,68
2021-01-10,84
2021-01-17,67
2021-01-24,65
2021-01-31,56
2021-02-07,59
2021-02-14,51
2021-02-21,57
