Category: All categories

Week,Covid: (North Carolina)
2020-03-01,6
2020-03-08,26
2020-03-15,80
2020-03-22,99
2020-03-29,98
2020-04-05,87
2020-04-12,69
2020-04-19,64
2020-04-26,59
2020-05-03,55
2020-05-10,54
2020-05-17,53
2020-05-24,50
2020-05-31,44
2020-06-07,48
2020-06-14,55
2020-06-21,72
2020-06-28,78
2020-07-05,78
2020-07-12,87
2020-07-19,69
2020-07-26,69
2020-08-02,59
2020-08-09,57
2020-08-16,55
2020-08-23,48
2020-08-30,49
2020-09-06,42
2020-09-13,39
2020-09-20,39
2020-09-27,54
2020-10-04,57
2020-10-11,49
2020-10-18,52
2020-10-25,54
2020-11-01,39
2020-11-08,62
2020-11-15,83
2020-11-22,75
2020-11-29,75
2020-12-06,93
2020-12-13,94
2020-12-20,89
2020-12-27,97
2021-01-03,91
2021-01-10,100
2021-01-17,85
2021-01-24,87
2021-01-31,75
2021-02-07,67
2021-02-14,59
2021-02-21,63
