Category: All categories

Week,Covid: (Washington)
2020-03-01,21
2020-03-08,41
2020-03-15,79
2020-03-22,88
2020-03-29,83
2020-04-05,70
2020-04-12,52
2020-04-19,52
2020-04-26,47
2020-05-03,47
2020-05-10,46
2020-05-17,43
2020-05-24,40
2020-05-31,34
2020-06-07,35
2020-06-14,40
2020-06-21,53
2020-06-28,56
2020-07-05,62
2020-07-12,68
2020-07-19,58
2020-07-26,59
2020-08-02,50
2020-08-09,48
2020-08-16,40
2020-08-23,38
2020-08-30,39
2020-09-06,31
2020-09-13,31
2020-09-20,34
2020-09-27,51
2020-10-04,50
2020-10-11,38
2020-10-18,40
2020-10-25,43
2020-11-01,34
2020-11-08,65
2020-11-15,100
2020-11-22,66
2020-11-29,64
2020-12-06,67
2020-12-13,69
2020-12-20,58
2020-12-27,61
2021-01-03,59
2021-01-10,63
2021-01-17,77
2021-01-24,73
2021-01-31,65
2021-02-07,53
2021-02-14,48
2021-02-21,50
