Category: All categories

Week,Covid: (Alaska)
2020-03-01,7
2020-03-08,25
2020-03-15,81
2020-03-22,100
2020-03-29,91
2020-04-05,75
2020-04-12,56
2020-04-19,60
2020-04-26,48
2020-05-03,40
2020-05-10,44
2020-05-17,39
2020-05-24,39
2020-05-31,39
2020-06-07,38
2020-06-14,40
2020-06-21,54
2020-06-28,56
2020-07-05,56
2020-07-12,56
2020-07-19,62
2020-07-26,74
2020-08-02,49
2020-08-09,57
2020-08-16,43
2020-08-23,45
2020-08-30,43
2020-09-06,29
2020-09-13,35
2020-09-20,40
2020-09-27,54
2020-10-04,53
2020-10-11,43
2020-10-18,50
2020-10-25,60
2020-11-01,46
2020-11-08,78
2020-11-15,78
2020-11-22,61
2020-11-29,63
2020-12-06,59
2020-12-13,60
2020-12-20,49
2020-12-27,50
2021-01-03,70
2021-01-10,53
2021-01-17,42
2021-01-24,50
2021-01-31,48
2021-02-07,52
2021-02-14,40
2021-02-21,42
